1951	FLATFISH	Trawls, Unspecified	772.6	1,703,300	88,147
1951	FLATFISH	Entangling Nets (Gill) Unspc	0.6	1,300	110
1951	FLATFISH	Troll & Hand Lines Cmb	35.4	78,000	7,543
1951	FLYINGFISHES	Encircling Nets (Purse)	1.0	2,100	164
1951	FLYINGFISHES	Entangling Nets (Gill) Unspc	23.3	51,400	4,053
1951	GROUPERS	Encircling Nets (Purse)	0.0	100	12
1951	GROUPERS	Troll & Hand Lines Cmb	264.7	583,600	117,337
1951	HAKE, PACIFIC (WHITING)	Trawls, Unspecified	11.3	25,000	312
1951	HALIBUT, CALIFORNIA	Encircling Nets (Purse)	4.1	9,100	2,028
1951	HALIBUT, CALIFORNIA	Trawls, Unspecified	93.9	207,100	47,413
1951	HALIBUT, CALIFORNIA	Entangling Nets (Gill) Unspc	268.0	590,800	135,109
1951	HALIBUT, CALIFORNIA	Troll & Hand Lines Cmb	26.7	58,900	14,091
1951	HALIBUT, PACIFIC	Trawls, Unspecified	26.2	57,800	14,174
1951	HALIBUT, PACIFIC	Troll & Hand Lines Cmb	13.1	28,900	6,504
1951	HERRING, PACIFIC	Encircling Nets (Purse)	2,089.0	4,605,300	49,906
1951	HERRING, PACIFIC	Entangling Nets (Gill) Unspc	141.7	312,400	3,398
1951	JACK MACKEREL	Encircling Nets (Purse)	40,695.0	89,716,200	2,013,625
1951	JACK MACKEREL	Trawls, Unspecified	0.5	1,000	44
1951	JACK MACKEREL	Entangling Nets (Gill) Unspc	0.0	100	3
1951	JACK MACKEREL	Troll & Hand Lines Cmb	0.6	1,300	30
1951	JACK MACKEREL	Brail Or Scoop	54.2	119,500	2,700
1951	LINGCOD	Trawls, Unspecified	559.8	1,234,200	105,676
1951	LINGCOD	Pots And Traps, Other	0.0	100	8
1951	LINGCOD	Entangling Nets (Gill) Unspc	0.7	1,600	149
1951	LINGCOD	Troll & Hand Lines Cmb	197.9	436,200	38,264
1951	LOBSTER, CALIFORNIA SPINY	Trawls, Unspecified	0.2	500	147
1951	LOBSTER, CALIFORNIA SPINY	Pots And Traps, Other	367.3	809,800	296,050
1951	LOBSTER, CALIFORNIA SPINY	Entangling Nets (Gill) Unspc	6.5	14,300	5,670
1951	MACKEREL (SCOMBER)	Encircling Nets (Purse)	12,933.6	28,513,400	793,093
1951	MACKEREL (SCOMBER)	Entangling Nets (Gill) Unspc	1.1	2,400	85
1951	MACKEREL (SCOMBER)	Troll & Hand Lines Cmb	75.6	166,700	5,741
1951	MACKEREL (SCOMBER)	Brail Or Scoop	2,193.5	4,835,900	133,229
1951	MACKEREL, SPANISH	Troll & Hand Lines Cmb	8.9	19,600	2,273
1951	MULLET, STRIPED (LIZA)	Entangling Nets (Gill) Unspc	48.9	107,800	6,924
1951	OCTOPUS	Trawls, Unspecified	6.4	14,000	796
1951	OCTOPUS	Pots And Traps, Other	4.1	9,100	876
1951	OCTOPUS	Troll & Hand Lines Cmb	2.8	6,100	467
1951	OYSTER, EASTERN	Rakes, Oyster	11.3	25,000	28,460
1951	OYSTER, OLYMPIA	Rakes, Oyster	1.0	2,200	2,804
1951	OYSTER, PACIFIC	Rakes, Oyster	7.3	16,100	14,477
1951	POMPANO, PACIFIC	Encircling Nets (Purse)	28.8	63,600	21,995
1951	POMPANO, PACIFIC	Trawls, Unspecified	0.3	600	303
1951	ROCK BASSES, PACIFIC	Encircling Nets (Purse)	1.4	3,000	424
1951	ROCK BASSES, PACIFIC	Trawls, Unspecified	0.1	300	32
1951	ROCK BASSES, PACIFIC	Pots And Traps, Other	2.0	4,300	619
1951	ROCK BASSES, PACIFIC	Entangling Nets (Gill) Unspc	2.8	6,200	725
1951	ROCK BASSES, PACIFIC	Troll & Hand Lines Cmb	124.6	274,800	43,767
1951	ROCKFISHES	Encircling Nets (Purse)	0.3	700	63
1951	ROCKFISHES	Trawls, Unspecified	3,414.0	7,526,600	395,930
1951	ROCKFISHES	Entangling Nets (Gill) Unspc	1.5	3,300	242
1951	ROCKFISHES	Troll & Hand Lines Cmb	1,570.1	3,461,500	258,411
1951	SABLEFISH	Trawls, Unspecified	402.0	886,300	77,771
1951	SABLEFISH	Troll & Hand Lines Cmb	770.6	1,698,800	121,589
1951	SALMON, CHINOOK	Entangling Nets (Gill) Unspc	609.3	1,343,200	301,877
1951	SALMON, CHINOOK	Troll & Hand Lines Cmb	2,653.3	5,849,500	1,671,085
1951	SARDINE, PACIFIC	Encircling Nets (Purse)	149,184.6	328,892,300	7,247,465
1951	SARDINE, PACIFIC	Entangling Nets (Gill) Unspc	0.2	400	5
1951	SCULPINS	Trawls, Unspecified	0.2	400	36
